x,t,z
3.25,0,0
3.25,0.2,0.007806644
3.25,0.4,0.015926596
3.25,0.6,0.024685738
3.25,0.8,0.034435606
3.25,1,0.045567495
3.25,1.2,0.058528168
3.25,1.4,0.073837782
3.25,1.6,0.092110766
3.25,1.8,0.114080477
3.25,2,0.140628639
3.5,0,0
3.5,0.2,0.00607982
3.5,0.4,0.012403645
3.5,0.6,0.019225272
3.5,0.8,0.026818477
3.5,1,0.035488001
3.5,1.2,0.045581783
3.5,1.4,0.057504923
3.5,1.6,0.071735936
3.5,1.8,0.088845965
3.5,2,0.109521694
3.75,0,0
3.75,0.2,0.004734969
3.75,0.4,0.009659969
3.75,0.6,0.014972657
3.75,0.8,0.020886251
3.75,1,0.027638083
3.75,1.2,0.035499129
3.75,1.4,0.044784879
3.75,1.6,0.055868003
3.75,1.8,0.069193307
3.75,2,0.085295581
4,0,0
4,0.2,0.003687598
4,0.4,0.007523191
4,0.6,0.011660717
4,0.8,0.016266228
4,1,0.021524561
4,1.2,0.027646749
4,1.4,0.034878499
4,1.6,0.043510045
4,1.8,0.053887802
4,2,0.066428266
